title,developers,genres,platforms
.kkrieger,"Farbrausch, .theprodukkt","science fiction video game, action game, first-person shooter",Microsoft Windows
0 A.D.,"Stanislas Dolcini, Wildfire Games","historical video game, real-time strategy","Linux, Microsoft Windows, macOS, Berkeley Software Distribution"
007 Legends,Eurocom,first-person shooter,"Microsoft Windows, PlayStation 3, Wii U"
007: Licence to Kill,Unknown,shoot 'em up,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, MSX, BBC Micro"
10th Frame,Indie Built,"bowling video game, sports video game","ZX Spectrum, Commodore 64, DOS, Amstrad CPC, MSX"
180,Unknown,darts video game,"ZX Spectrum, Commodore 64, Amstrad CPC, MSX"
19 Part One: Boot Camp,Unknown,military education and training,"ZX Spectrum, Commodore 64"
24: The Game,Guerrilla Cambridge,third-person shooter,Unknown
3-D Monster Chase,Unknown,maze video game,"ZX Spectrum, Amstrad CPC"
3-D Tic-Tac-Toe,Atari,strategy video game,"Atari 2600, Atari 8-bit family"
3D Construction Kit,Incentive Software,"game creation system, graphics software, 3D computer graphics software","ZX Spectrum, Acorn Archimedes, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Commodore 128"
3D Knockout,Unknown,boxing video game,MSX
3D Tanx,Don Priestley,shoot 'em up,"ZX Spectrum, Commodore 64, BBC Micro"
3D Tunnel,Malcolm Evans,shoot 'em up,"ZX Spectrum, Commodore 64"
50 Mission Crush,Unknown,Computer wargame,"Apple II, Atari 8-bit computers, Commodore 64, MS-DOS"
720°,"Atari Games, Tiertex Design Studios","skateboarding video game, action game","ZX Spectrum, Commodore 64, Nintendo Entertainment System, Game Boy Color, Amstrad CPC, Atari System 2"
750cc Grand Prix,Unknown,racing video game,"ZX Spectrum, Amstrad CPC"
A Question of Sport,Elite Systems,"quiz video game, sports video game","ZX Spectrum, Commodore 64, Commodore Amiga, Atari ST, Amstrad CPC, BBC Micro"
A View to a Kill,Unknown,action game,"ZX Spectrum, Commodore 64, Amstrad CPC, MSX"
A-Jax,Konami,shooter game,"ZX Spectrum, Commodore 64, DOS, arcade video game machine, Amstrad CPC, PlayStation 4"
Aaargh!,Unknown,action game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Classic Mac OS, Apple IIGS, Arcadia Systems, MSX"
Abyss,Cases Computer Simulations,adventure video game,"ZX Spectrum, Commodore 64, Commodore Amiga"
Addiction Pinball,Team17,Pinball,"Microsoft Windows, PlayStation (console)"
AFL Premiership 2006,Unknown,Unknown,Unknown
Amnesia: The Dark Descent,Frictional Games,psychological horror fiction,"Linux, Microsoft Windows, macOS"
AR Games,Unknown,Unknown,Unknown
ARCA Sim Racing '08,Unknown,Unknown,Unknown
Archon: The Light and the Dark,Free Fall Associates,fighting game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Amstrad CPC, Classic Mac OS"
Arkanoid,Taito,Breakout clone,"Wii, ZX Spectrum, iOS, Commodore 64, Commodore Amiga, DOS, Nintendo DS, Super Nintendo Entertainment System, Nintendo Entertainment System, Amstrad CPC, MSX, Atari ST, Apple IIGS, Classic Mac OS"
Assassin's Creed II,Ubisoft Montreal,"historical video game, stealth game, third-person shooter, action-adventure game","Microsoft Windows, PlayStation 3, macOS, PlayStation 4"
Axie Infinity,Sky Mavis,"Non-fungible token, Online game, Strategy game","Android (operating system), IOS, MacOS, Microsoft Windows"
Back to the Future,Krome Studios Melbourne,action-adventure game,"ZX Spectrum, Commodore 64, Nintendo Entertainment System, Amstrad CPC"
Battle Cross (1994 video game),A-Max,"Action game, Racing game",Super Nintendo Entertainment System
Battle Pingpong,Quest Corporation,Sports video game,Game Boy
Battle Rap Stars,Jump Shot Media,Unknown,"IOS, Mobile phone"
Battle Submarine,Unknown,Submarine simulator,Super Nintendo Entertainment System
Battle Tanks,Gameloft,Multidirectional shooter,PlayStation 3
Battlefield 2: Modern Combat,DICE (company),First-person shooter,"PlayStation 2, Xbox (console), Xbox 360"
Battleground 2: Gettysburg,TalonSoft,Computer wargame,Microsoft Windows
Battleground 5: Antietam,TalonSoft,Computer wargame,Microsoft Windows
Battleships (video game),Elite Systems,Turn-based strategy,"Amiga, Amstrad CPC, Atari ST, BBC Micro, Commodore 64, ZX Spectrum"
BattleTech: The Crescent Hawk's Inception,Westwood Studios,Role-playing video game,"Amiga, Apple II, Atari ST, Commodore 64, MS-DOS"
Bazooka Bill,Beam Software,Action game,"Commodore 64, ZX Spectrum"
BeamWars,Unknown,Snake (video game genre),Mac operating systems
Beany Bopper,Sirius Software,Multidirectional shooter,Atari 2600
Beep (video game),Unknown,Platformer,"Linux, MacOS, Microsoft Windows"
Bejeweled Blitz,"PopCap Games, Torpex Games",Puzzle video game,"Android (operating system), Facebook, IOS, MacOS, Microsoft Windows, Xbox 360"
Beyond: Two Souls,Quantic Dream,"interactive film, science fiction video game, action-adventure game","Microsoft Windows, PlayStation 3, PlayStation 4"
Bionic Commando,"Capcom, Minakuchi Engineering Co., Ltd.","platform game, Metroidvania","ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Nintendo Entertainment System, Atari ST, Amstrad CPC"
Black Mesa,Crowbar Collective,"science fiction video game, first-person shooter","Linux, Microsoft Windows"
Blair Witch Volume II: The Legend of Coffin Rock,Human Head Studios,Survival horror,Microsoft Windows
Blitz (video game),Unknown,Action game,VIC-20
Blue Reflection,Gust (company),Role-playing video game,"Microsoft Windows, PlayStation 4, PlayStation Vita"
Boulder Dash,First Star Software,puzzle video game,"Android, ZX Spectrum, iOS, Commodore 64, Commodore Amiga, Nintendo Entertainment System, Game Boy, Apple II series, IBM Personal Computer, Atari ST, Atari 8-bit family, Amstrad CPC, MSX, Super Cassette Vision, ColecoVision, FM-7, Windows Phone"
Boundless (video game),Turbulenz,"Massively multiplayer online game, Sandbox game",Unknown
Bravely Archive: D's Report,Square Enix,Role-playing video game,"Android (operating system), IOS"
Breachers VR,Unknown,Tactical shooter,Unknown
Bring me Sandwiches!!,Grumpyface Studios,Platformer,IOS
Bubble Dizzy,Oliver Twins,action game,"ZX Spectrum, Commodore Amiga, DOS, Atari ST, Amstrad CPC"
Cabal,TAD Corporation,cabal shooter,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Nintendo Entertainment System, Atari ST, Amstrad CPC"
California Games,Epyx,sports video game,"ZX Spectrum, Microsoft Windows, Sega Genesis, Commodore 64, iOS, Commodore Amiga, DOS, Nintendo Entertainment System, Atari 2600, Atari ST, Amstrad CPC, MSX, Apple IIGS, Atari Lynx"
Call of Duty: Black Ops: Declassified,NStigate Games,First-person shooter,PlayStation Vita
Captain Blood,ERE Informatique,"science fiction video game, simulation video game, adventure video game","ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Atari ST, Amstrad CPC, Olivetti Prodest PC 128, Classic Mac OS, Apple IIGS, MOTO Gamme"
Captain Dynamo,Codemasters,platform game,"ZX Spectrum, Commodore 64, Commodore Amiga, DOS, Amstrad CPC, Atari ST"
Carlos Sainz: World Rally Championship,Zigurat (company),Racing game,"Amstrad CPC, MS-DOS, MSX, ZX Spectrum"
Celeste (video game),Maddy Makes Games,Platformer,Unknown
Chessmaster 4000 Turbo,The Software Toolworks,Strategy video game,"Classic Mac OS, Microsoft Windows"
Chronicles of Mystery: The Tree of Life,CI Games,Adventure game,Microsoft Windows
Chronotron,Unknown,"Platformer, Puzzle video game",Adobe Flash
Chrysler Classic Racing,Unknown,Racing game,"Nintendo DS, Wii"
Cinders (video game),Unknown,Visual novel,"MacOS, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One"
Circus,Unknown,arcade,"Commodore 64, arcade video game machine, Atari 2600"
Citizen Sleeper 2: Starward Vector,Unknown,Role-playing video game,Unknown
Civilization V,Firaxis Games,"turn-based strategy video game, 4X","Linux, Microsoft Windows, macOS"
Cobalt Core,Unknown,Roguelike deck-building game,Unknown
Commandos 2: Men of Courage,Pyro Studios,"multiple perspectives role-playing, real-time tactics","Microsoft Windows, macOS"
Cool Cool Toon,SNK,Rhythm game,Dreamcast
Cool World (SNES video game),Unknown,Action game,Super Nintendo Entertainment System
Corpse Craft: Incident at Weardd Academy,Unknown,"Puzzle video game, Real-time strategy","Adobe Flash, IOS"
Corvette Evolution GT,Milestone (Italian company),Racing game,"Microsoft Windows, Nintendo DS, PlayStation 2"
Cosmic Fantasy 2,Telenet Japan,Role-playing video game,TurboGrafx-16
Crab Champions,Noisestorm,"Roguelike, Third-person shooter",Microsoft Windows
Cricket 2004,"Beam Software, EA Vancouver, HB Studios",Sports video game,"Java Platform, _Micro_Edition, MS-DOS, Microsoft Windows, PlayStation 2, Xbox (console)"
